level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team,MatchName,GameWeek
15,16,13.0,0.0,32.0,24,10.920000000000002,31.892000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '5.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.48'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '39.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 127, 36, 38, 216, 218]",True,102248.0,38.22,3.604,,,,,,,,,,,0.5333333333333333,,,,1.0,3.0,4.0,0.0,0.01082722,0.01126267,0.0004354500000000004,Aston Villa,Everton,23.0,Emiliano Martinez,GK,True,20.73137608278752,0.0,-46.01824621163096,E. Martinez,1.0,Aston Villa,Aston Villa vs Everton,4
16,17,13.5,0.0,35.5,24,38.22,3.604,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,301440.0,40.425000000000004,14.212,,,,,,14.0,,,,,0.5916666666666667,,,,4.0,0.0,4.0,1.0,0.01126267,0.01214719,0.0008845199999999998,Aston Villa,Everton,4.0,Ezri Konsa,DC,True,0.0,5.83339247592744,78.2575960567933,E. Konsa,1.0,Aston Villa,Aston Villa vs Everton,4
17,18,14.0,0.0,39.0,24,40.425000000000004,14.212,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.31'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '35.3'}]","[91, 117, 30, 36, 37, 216, 218]",True,301440.0,43.050000000000004,24.004,,,,,,,,,,,0.65,,,,4.0,1.0,4.0,2.0,0.01214719,0.01269174,0.0005445499999999995,Aston Villa,Everton,4.0,Ezri Konsa,DC,True,4.787569874506261,0.0,74.9932224233373,E. Konsa,1.0,Aston Villa,Aston Villa vs Everton,4
18,19,14.5,0.0,40.0,24,43.050000000000004,24.004,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,136345.0,48.300000000000004,28.628000000000004,,,,,,15.0,,,,,0.6666666666666667,,,,4.0,2.0,5.0,3.0,0.01269174,0.01484598,0.00215424,Aston Villa,Everton,8.0,Youri Tielemans,DMC,True,0.0,5.797360452369546,41.37237000355931,Y. Tielemans,1.0,Aston Villa,Aston Villa vs Everton,4
19,20,15.0,0.0,41.0,24,48.300000000000004,28.628000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.44'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.8'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.2'}]","[91, 119, 117, 30, 36, 37, 216, 218]",True,136345.0,57.225,32.776,,,,,,,,,,,0.6833333333333333,,,,5.0,3.0,6.0,3.0,0.01484598,0.01689528,0.0020492999999999987,Aston Villa,Everton,8.0,Youri Tielemans,DMC,True,9.163237637039437,0.0,24.927210081376433,Y. Tielemans,1.0,Aston Villa,Aston Villa vs Everton,4
20,21,16.0,0.0,42.0,24,57.225,32.776,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '39.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '56.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.4'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.96'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 120, 29, 36, 38, 216, 218]",True,369813.0,58.800000000000004,26.588000000000005,,,,,,,,,,,0.7,,,,,,,,,,,Aston Villa,Everton,41.0,Jacob Ramsey,AML,True,0.9998899691175538,0.0,-75.72001100112604,J. Ramsey,1.0,Aston Villa,Aston Villa vs Everton,4
21,22,4.0,0.0,43.0,31,48.93000000000001,41.276,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.90'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '57.7'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,416208.0,53.97,39.236000000000004,,,,,,,,,,,0.7166666666666667,,,,5.0,4.0,6.0,4.0,0.01484598,0.01689528,0.0020492999999999987,Everton,Aston Villa,42.0,Tim Iroegbunam,DMC,True,5.242199175323236,0.0,-22.036226940145475,T. Iroegbunam,1.0,Aston Villa,Aston Villa vs Everton,4
22,23,5.0,0.0,43.0,31,52.605000000000004,38.624,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 69]",True,357427.0,,,,,,,,,,,,,0.7166666666666667,,,,,,,,,,,Everton,Aston Villa,7.0,Dwight McNeil,AMC,True,0.0,0.0,,D. McNeil,1.0,Aston Villa,Aston Villa vs Everton,4
23,24,17.0,0.0,45.0,24,45.15,24.344,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '34.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.21'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,400815.0,33.6,23.528000000000002,,,,,,,,,,,0.75,,,,5.0,2.0,3.0,2.0,0.01429128,0.01110462,-0.003186659999999999,Aston Villa,Everton,24.0,Amadou Onana,DMC,True,-11.53993108479785,0.0,-175.9588051032375,A. Onana,1.0,Aston Villa,Aston Villa vs Everton,4
24,25,18.0,0.0,47.0,24,33.6,23.528000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.50'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.4'}]","[91, 117, 30, 36, 37, 216, 218]",True,301440.0,43.575,29.036000000000005,,,,,,,,,,,0.7833333333333333,,,,3.0,2.0,4.0,3.0,0.01110462,0.01262646,0.00152184,Aston Villa,Everton,4.0,Ezri Konsa,DC,True,10.53860672820769,0.0,28.906621466084623,E. Konsa,1.0,Aston Villa,Aston Villa vs Everton,4
25,26,19.0,0.0,48.0,24,44.1,29.104,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '42.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.26'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 120, 29, 36, 38, 216, 218]",True,136345.0,54.075,28.832,,,,,,,,,,,0.8,,,,,,,,,,,Aston Villa,Everton,8.0,Youri Tielemans,DMC,True,9.909928493828978,0.0,-1.561964022781774,Y. Tielemans,1.0,Aston Villa,Aston Villa vs Everton,4
26,27,6.0,0.0,49.0,31,47.88,39.032000000000004,0.0,FirstHalf,Interception,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 101, 56]",True,416208.0,,,,,,,,,,,,,0.8166666666666667,,,,,,,,,,,Everton,Aston Villa,42.0,Tim Iroegbunam,DMC,True,0.0,0.0,,T. Iroegbunam,2.0,Everton,Aston Villa vs Everton,4
27,28,7.0,0.0,50.0,31,57.855000000000004,35.768,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,141469.0,,,,,,,,,,,,,0.8333333333333334,,,,,,,,,,,Everton,Aston Villa,9.0,Dominic Calvert-Lewin,FW,True,0.0,0.0,,D. Calvert-Lewin,2.0,Everton,Aston Villa vs Everton,4
28,29,8.0,0.0,51.0,31,57.855000000000004,35.768,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.95'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '1.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 119, 117, 30, 36, 37, 216, 218]",True,141469.0,58.589999999999996,36.788000000000004,,,,,,,,,,,0.85,,,,6.0,4.0,6.0,4.0,0.01689528,0.01689528,0.0,Everton,Aston Villa,9.0,Dominic Calvert-Lewin,FW,True,0.6844728160838116,0.0,54.22392228210571,D. Calvert-Lewin,2.0,Everton,Aston Villa vs Everton,4
29,30,9.0,0.0,52.0,31,58.695,37.604,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.66'}]","[91, 119, 117, 30, 35, 38, 216, 218]",True,357427.0,58.275000000000006,30.056000000000004,,,,,,,,,,,0.8666666666666667,,,,6.0,4.0,6.0,3.0,0.01689528,0.01689528,0.0,Everton,Aston Villa,7.0,Dwight McNeil,AMC,True,-0.44611758474346175,0.0,-93.18487509471363,D. McNeil,2.0,Everton,Aston Villa vs Everton,4
30,31,10.0,0.0,53.0,31,57.225,31.008000000000003,0.0,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '20'}]","[91, 70]",True,80464.0,,,,,,,,,,,,,0.8833333333333333,,,,,,,,,,,Everton,Aston Villa,27.0,Idrissa Gueye,DMC,True,0.0,0.0,,I. Gueye,2.0,Everton,Aston Villa vs Everton,4
31,32,20.0,0.0,54.0,24,47.775,36.992000000000004,0.0,FirstHalf,Tackle,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '10'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 143]",True,136345.0,,,,,,,,,,,,,0.9,,,,,,,,,,,Aston Villa,Everton,8.0,Youri Tielemans,DMC,True,0.0,0.0,,Y. Tielemans,3.0,Aston Villa,Aston Villa vs Everton,4
32,33,22.0,0.0,55.0,24,54.6,36.992000000000004,0.0,FirstHalf,Foul,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '11'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 63]",True,136345.0,,,,,,,,,,,,,0.9166666666666666,,,,,,,,,,,Aston Villa,Everton,8.0,Youri Tielemans,DMC,True,0.0,0.0,,Y. Tielemans,3.0,Aston Villa,Aston Villa vs Everton,4
33,34,11.0,0.0,55.0,31,50.400000000000006,31.008000000000003,0.0,FirstHalf,Foul,Unsuccessful,"[{'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '22'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]",[64],False,80464.0,,,,,,,,,,,,,0.9166666666666666,,,,,,,,,,,Everton,Aston Villa,27.0,Idrissa Gueye,DMC,True,0.0,0.0,,I. Gueye,3.0,Aston Villa,Aston Villa vs Everton,4
34,35,23.0,1.0,15.0,24,54.705000000000005,39.168000000000006,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.9'}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.37'}]","[91, 117, 30, 132, 35, 38, 216, 218]",True,136345.0,49.980000000000004,26.044,,,,,,,,,,,1.25,,,,6.0,4.0,5.0,3.0,0.01689528,0.01484598,-0.0020492999999999987,Aston Villa,Everton,8.0,Youri Tielemans,DMC,True,-5.032432160764614,0.0,-109.80026768542683,Y. Tielemans,3.0,Aston Villa,Aston Villa vs Everton,4
35,36,24.0,1.0,22.0,24,50.19,27.880000000000003,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '56.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.28'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '30.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.9'}]","[91, 119, 117, 30, 36, 37, 216, 218]",True,301440.0,58.800000000000004,57.05200000000001,,,,,,,,,,,1.3666666666666667,,,,5.0,3.0,6.0,6.0,0.01484598,0.01611813,0.0012721500000000014,Aston Villa,Everton,4.0,Ezri Konsa,DC,True,3.5188946198514373,0.0,73.55624399168319,E. Konsa,3.0,Aston Villa,Aston Villa vs Everton,4
36,37,25.0,1.0,29.0,24,59.85,57.120000000000005,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.30'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '48.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '52.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 216, 218]",True,344259.0,50.400000000000006,35.496,,,,,,,,,,,1.4833333333333334,,,,6.0,6.0,5.0,4.0,0.01611813,0.01484598,-0.0012721500000000014,Aston Villa,Everton,14.0,Pau Torres,DC,True,-3.8951825280181396,0.0,-113.60602200066354,P. Torres,3.0,Aston Villa,Aston Villa vs Everton,4
